LSOA11CD,LST cat,IMD_cat,FP_cat,EPC below C_cat,Predominant period Cat
E01017943,High,Medium,Low,Low,Low
E01017944,Medium,High,Medium,High,Medium
E01017945,Very low,High,Medium,Low,Medium
E01017946,Medium,Very High,High,High,Medium
E01017947,Medium,Medium,High,Medium,Medium
E01017948,Medium,Very High,Medium,Medium,Low
E01017949,Medium,Medium,High,High,Medium
E01017950,High,Very low,Low,Very High,Very High
E01017951,Medium,Medium,Low,High,Medium
E01017952,Medium,High,Medium,Medium,Medium
E01017953,Low,Medium,Medium,High,Medium
E01017954,Medium,Medium,Medium,Medium,Medium
E01017955,High,Very low,Low,High,Medium
E01017957,High,Very low,Low,Medium,Very High
E01017958,High,Low,Very High,Medium,Low
E01017959,Medium,Very low,Very low,High,Medium
E01017961,Very low,Medium,Low,High,Medium
E01017962,Medium,Medium,Low,Medium,Medium
E01017963,High,Medium,Medium,Medium,Medium
E01017964,High,Very low,Very low,High,Medium
E01017965,Medium,Medium,Medium,Medium,Medium
E01017966,High,Low,Medium,Low,Low
E01017967,Medium,Medium,High,Medium,Medium
E01017968,Medium,Very low,Medium,High,Medium
E01017969,High,Low,Low,High,Medium
E01017971,High,High,Medium,High,Medium
E01017972,Medium,Medium,Low,High,Medium
E01017973,High,Medium,High,Medium,Medium
E01017974,High,Medium,Very High,High,Medium
E01017975,High,High,High,Medium,Medium
E01017976,High,Low,Medium,Medium,Medium
E01017977,Medium,Very High,Low,Low,Medium
E01017978,High,High,Medium,High,Medium
E01017979,High,High,Medium,Medium,Medium
E01017980,High,Low,Medium,Medium,Medium
E01017983,High,Low,Low,Medium,Very High
E01017986,Medium,Very low,Medium,High,Medium
E01017987,High,Low,Low,Low,Very High
E01017988,Very High,Very low,High,Very High,Very High
E01017989,Very High,Low,Medium,Medium,Very High
E01017990,High,Low,Low,High,Very High
E01017991,High,Medium,Medium,Medium,Very High
E01017992,Medium,Low,Low,High,Medium
E01017993,Low,Very low,Low,Medium,Medium
E01017994,Low,Medium,Medium,High,Medium
E01017995,Low,Very low,Very low,Low,Medium
E01017996,High,Very low,Low,Medium,High
E01017997,Medium,Medium,High,Low,Medium
E01017998,Very High,Very low,Low,High,Very High
E01017999,Very low,Medium,Medium,Medium,Medium
E01018000,High,Low,Medium,High,Very High
E01018001,High,Low,Medium,High,Very High
E01018003,High,Low,Medium,Very low,Very low
E01018005,Low,Medium,Medium,High,Very High
E01018006,High,Very low,Low,Medium,Low
E01018007,Very High,Very low,Low,High,Medium
E01018008,Medium,Very low,Medium,High,Very High
E01018009,Very High,High,Medium,Medium,Very High
E01018010,Medium,Very low,Low,Medium,Medium
E01018243,High,Low,Very low,High,Low
E01018248,Very low,Very low,Low,Medium,Medium
E01018287,Low,Low,Very low,High,Low
E01018293,Medium,Very low,Very low,High,Medium
E01018294,Medium,Low,Very low,Medium,Medium
E01032792,High,Low,Very low,Low,Low
E01032795,Medium,Low,Medium,Very low,Very low
E01032797,Medium,Medium,Very High,Medium,Very High
E01032802,High,Medium,Medium,Low,Low
E01033121,Very High,Medium,Low,Very low,Low
